name,category_id,sale_price,price,description,nutrition
Natural Energy Pear - 330 ml,1,,2.49,"Luonnollista kofeiinia (100 mg) tuomaan tasaista energiaa,Magnesiumia ja Guerandé-merisuolaa (elektrolyytit) tukemaan nesteytystä arjen ja treenien keskellä,Ei sokeria tai keinotekoisia makeutusaineita, aromeja ja värejä,Makuna mehukas päärynä","Energia/Energi,4kcal16kJ/13kcal53kJ|Rasva/Fett,0g/0g|-jostatyydyttynyttä/varavmättat,0g/0g|Hiilihydraatit/Kolhydrater,0,9g/3g|-jostasokereita/varavsockerarter,0,5g/1,4g|Proteiini/Protein,0g/0g|Suola/Salt,0.04g/0.13g|C-vitamiini/C-vitamin,3,6mg(4%*)/12mg(15%*)|Magnesium,19mg(5%*)/65mg(17%*)"
Natural Energy Drink Pineapple Crush Strong - 330 ml,1,,2.49,"Täydellinen yhdistelmä raikasta ananasta ja tropiikin makeutta,180 mg luonnollista kofeiinia antaa sopivasti energiaa päivään,Ei lisättyä sokeria, keinotekoisia makeutusaineita, värejä tai aromeja,Täydellinen valinta treeniin, töihin tai arjen seikkailuihin","Energia/Energi,4kcal15kJ/13kcal50kJ|Rasva/Fett,0g/0g|-jostatyydyttynyttä/varavmättat,0g/0g|Hiilihydraatit/Kolhydrater,0,9g/3g|-jostasokereita/varavsockerarter,0,5g/1,3g|Proteiini/Protein,0g/0g|Suola/Salt,0g/0g|Ravintokuitua/Kostfiber,0g/0g"
Natural Energy Drink Raspberry Strong - 330 ml,1,,2.49,"Se parhaimman makuinen luontainen energiajuoma nyt vahvempana kuin koskaan!,Hurjat 180 milligrammaa luontaista kofeiinia,Entistä makeampi vadelmainen maku,Ei sukraloosia, aspartaamia tai asesulfaami K:ta - tai mitään muutakaan ylimääräistä","Energia/Energi,23kJ/76kJ5kcal/16kcal|Rasva/Fett,0g/0g|-jostatyydyttynyttä/varavmättat,0g/0g|Hiilihydraatit/Kolhydrater,1,3g/4,3g|-jostasokereita/varavsockerarter,<0,5g/1,6g|Proteiini/Protein,0g/0g|Suola/Salt,0g/0g"
Natural Energy Drink Watermelon Strong - 330 ml,1,,2.49,"Täydellinen yhdistelmä raikasta vesimelonia ja karkkimaista makeutta,180 mg luonnollista kofeiinia antaa sopivasti energiaa päivään,Ei lisättyä sokeria, keinotekoisia makeutusaineita, värejä tai aromeja,Täydellinen valinta treeniin, töihin tai arjen seikkailuihin","Energia/Energi,16kJ/53kJ4kcal/13kcal|Rasva/Fett,0g/0g|-jostatyydyttynyttä/varavmättat,0g/0g|Hiilihydraatit/Kolhydrater,0,25g/0,83g|-jostasokereita/varavsockerarter,0,20g/0,66g|Proteiini/Protein,0g/0g|Suola/Salt,0g/0g"
Natural Energy Drink Lemon Limeade Strong - 330 ml,1,,2.49,"Se parhaimman makuinen luontainen energiajuoma vahvempana kuin koskaan!,Hurjat 180 milligrammaa luontaista kofeiinia,Erittäin raikas limen ja sitruunan maku,Ei sukraloosia, aspartaamia tai asesulfaami K:ta - tai mitään muutakaan ylimääräistä","Energia/Energi,16kJ/53kJ4kcal/13kcal|Rasva/Fett,0g/0g|-jostatyydyttynyttä/varavmättat,0g/0g|Hiilihydraatit/Kolhydrater,0,5g/1g|-jostasokereita/varavsockerarter,0,5g/1g|Proteiini/Protein,0g/0g|Suola/Salt,0g/0g"
Natural Energy Drink Pear Lemonade - 330 ml,1,,2.49,"Raikkaan hedelmäinen ja sitruksinen maku,Täysin luonnolliset ainesosat,100mg kofeiinia vihreätee-, guarana- ja yerba mate -uutteista,Ei sokeria, luontainen makeutus stevioliglykosideilla","Energia/Energi,1 kcal3kJ/2kcal8kJ|Rasva/Fett,0g/0g|-jostatyydyttynyttä/varavmättat,0g/0g|Hiilihydraatit/Kolhydrater,0g/0g|-jostasokereita/varavsockerarter,0g/0g|Proteiini/Protein,0g/0g|Suola/Salt,0g/0g"
Natural Energy Drink Vihreä omena - 330 ml,1,,2.49,"Herkullisen raikas maku,Kofeiini vihreätee-, guarana- ja yerba mate -uutteista,Täysin sokeriton,Vegaaninen","Energia/Energi,0kcal2kJ/1kcal6kJ|Rasva/Fett,0g/0g|-jostatyydyttynyttä/varavmättat,0g/0g|Hiilihydraatit/Kolhydrater,0g/0g|-jostasokereita/varavsockerarter,0g/0g|Proteiini/Protein,0g/0g|Suola/Salt,0g/0g"
Natural Energy Drink Original - 330 ml,1,,2.49,"Perinteinen energiajuoman maku, luonnollinen sisältö,Kofeiini vihreätee-, guarana- ja yerba mate -uutteista,Sokeriton,Vegaaninen","Energia/Energi,0kcal/1kcal2kJ/ 5kJ|Rasva/Fett,0g/0g|-jostatyydyttynyttä/varavmättat,0g/0g|Hiilihydraatit/Kolhydrater,0g/0g|-jostasokereita/varavsockerarter,0g/0g|Proteiini/Protein,0g/0g|Suola/Salt,0g/0g"
Natural Energy Pear - 330 ml 24-pack,1,41.95,59.76,"Luonnollista kofeiinia (100 mg) tuomaan tasaista energiaa,Magnesiumia ja Guerandé-merisuolaa (elektrolyytit) tukemaan nesteytystä arjen ja treenien keskellä,Ei sokeria tai keinotekoisia makeutusaineita, aromeja ja värejä,Makuna mehukas päärynä","Energia/Energi,4kcal16kJ/13kcal53kJ|Rasva/Fett,0g/0g|-jostatyydyttynyttä/varavmättat,0g/0g|Hiilihydraatit/Kolhydrater,0,9g/3g|-jostasokereita/varavsockerarter,0,5g/1,4g|Proteiini/Protein,0g/0g|Suola/Salt,0.04g/0.13g|C-vitamiini/C-vitamin,3,6mg(4%*)/12mg(15%*)|Magnesium,19mg(5%*)/65mg(17%*)"
Natural Energy Drink Pineapple Crush Strong - 330 ml 24-pack,1,41.95,59.76,"Täydellinen yhdistelmä raikasta ananasta ja tropiikin makeutta,180 mg luonnollista kofeiinia antaa sopivasti energiaa päivään,Ei lisättyä sokeria, keinotekoisia makeutusaineita, värejä tai aromeja,Täydellinen valinta treeniin, töihin tai arjen seikkailuihin","Energia/Energi,4kcal15kJ/13kcal50kJ|Rasva/Fett,0g/0g|-jostatyydyttynyttä/varavmättat,0g/0g|Hiilihydraatit/Kolhydrater,0,9g/3g|-jostasokereita/varavsockerarter,0,5g/1,3g|Proteiini/Protein,0g/0g|Suola/Salt,0g/0g|Ravintokuitua/Kostfiber,0g/0g"
